File Format = ASCII
Created by Nova, NT-MDT ltd., 31/05/2016 05:12:31 p. m.
File: C:\Users\David\Desktop\Listeria\Mirtala - Listeria - Control.mdt
1D Frame Type = NewCurves
State = Columns
ND = 1
NX = 2000
Scale X = 2.3024
Scale Data = 0.0015
Bias X = -800.0711
Bias Data = 0.0000E+0
Unit X = nm
Unit Data = nA
DataScaleNeeded = No
Start of Data : 
	X1Phys = 320321.3125	Y1Phys = 434408.0312
	FwSize1 = 1000	BkSize1 = 1000
X	Y1F	Y1B
-800.0711	12.9084	12.9344
-797.7688	12.8596	12.9267
-795.4664	12.8153	12.8855
-793.1640	12.7558	12.8627
-790.8617	12.7131	12.8337
-788.5593	12.6933	12.7864
-786.2570	12.6658	12.7436
-783.9546	12.6353	12.6811
-781.6523	12.6032	12.6338
-779.3499	12.5376	12.6002
-777.0476	12.4979	12.5391
-774.7452	12.4567	12.4873
-772.4429	12.3972	12.4293
-770.1405	12.3637	12.3621
-767.8382	12.2996	12.3057
-765.5358	12.2492	12.2553
-763.2335	12.2187	12.2019
-760.9311	12.1836	12.1531
-758.6288	12.1653	12.0951
-756.3264	12.1363	12.0386
-754.0240	12.0707	11.9974
-751.7217	12.0295	11.9532
-749.4193	11.9883	11.9043
-747.1170	11.9455	11.8540
-744.8146	11.9089	11.7792
-742.5123	11.8585	11.7273
-740.2099	11.7960	11.6998
-737.9076	11.7533	11.6571
-735.6052	11.7166	11.6281
-733.3029	11.6876	11.5839
-731.0005	11.6617	11.5289
-728.6982	11.6113	11.4908
-726.3958	11.5533	11.4481
-724.0935	11.5060	11.3931
-721.7911	11.4603	11.3351
-719.4888	11.4282	11.2665
-717.1864	11.3687	11.2008
-714.8840	11.3061	11.1703
-712.5817	11.2680	11.1108
-710.2793	11.2436	11.0620
-707.9770	11.2192	11.0330
-705.6746	11.2054	10.9429
-703.3723	11.1627	10.9124
-701.0699	11.1139	10.8605
-698.7676	11.0727	10.8026
-696.4652	11.0177	10.7644
-694.1629	10.9735	10.6896
-691.8605	10.9201	10.6362
-689.5582	10.8483	10.5813
-687.2558	10.8056	10.5447
-684.9535	10.7614	10.5126
-682.6511	10.7339	10.4500
-680.3488	10.7201	10.4241
-678.0464	10.6744	10.3615
-675.7440	10.6255	10.3539
-673.4417	10.5798	10.2990
-671.1393	10.5279	10.2562
-668.8370	10.4867	10.2227
-666.5346	10.4638	10.1281
-664.2323	10.4104	10.1296
-661.9299	10.3509	10.0502
-659.6276	10.3203	10.0289
-657.3252	10.2715	10.0060
-655.0229	10.2486	9.9190
-652.7205	10.2211	9.9190
-650.4182	10.1601	9.8320
-648.1158	10.1113	9.8366
-645.8135	10.0563	9.7832
-643.5111	10.0136	9.7054
-641.2088	9.9892	9.6901
-638.9064	9.9297	9.5970
-636.6040	9.8793	9.6260
-634.3017	9.8335	9.5573
-631.9993	9.8030	9.5100
-629.6970	9.7740	9.5192
-627.3946	9.7542	9.3956
-625.0923	9.7099	9.4383
-622.7899	9.6489	9.3467
-620.4876	9.6001	9.3040
-618.1852	9.5375	9.3132
-615.8829	9.4978	9.1758
-613.5805	9.4581	9.2155
-611.2782	9.3910	9.1102
-608.9758	9.3544	9.0889
-606.6735	9.3010	9.0873
-604.3711	9.2735	8.9622
-602.0688	9.2643	9.0156
-599.7664	9.2140	8.8828
-597.4641	9.1728	8.9012
-595.1617	9.1194	8.8752
-592.8593	9.0705	8.7699
-590.5570	9.0477	8.8279
-588.2546	9.0019	8.6768
-585.9523	8.9637	8.7013
-583.6499	8.9164	8.6478
-581.3476	8.8722	8.5563
-579.0452	8.8340	8.6173
-576.7429	8.8004	8.4571
-574.4405	8.7562	8.5044
-572.1382	8.7028	8.4418
-569.8358	8.6539	8.3472
-567.5335	8.5944	8.4174
-565.2311	8.5456	8.2419
-562.9288	8.5136	8.2831
-560.6264	8.4510	8.2099
-558.3241	8.3991	8.1168
-556.0217	8.3518	8.1763
-553.7193	8.3136	8.0268
-551.4170	8.2984	8.0725
-549.1146	8.2557	7.9886
-546.8123	8.2297	7.9505
-544.5099	8.1839	7.9733
-542.2076	8.1336	7.8345
-539.9052	8.1000	7.8787
-537.6029	8.0558	7.7551
-535.3005	8.0084	7.7429
-532.9982	7.9611	7.7521
-530.6958	7.9108	7.6117
-528.3935	7.8574	7.6788
-526.0911	7.8223	7.5629
-523.7888	7.7948	7.5339
-521.4864	7.7444	7.5445
-519.1841	7.6971	7.4042
-516.8817	7.6407	7.4743
-514.5793	7.5873	7.3523
-512.2770	7.5659	7.3202
-509.9746	7.5079	7.3217
-507.6723	7.4576	7.1920
-505.3699	7.3996	7.2470
-503.0676	7.3401	7.1463
-500.7652	7.3217	7.1203
-498.4629	7.2851	7.1035
-496.1605	7.2531	7.0059
-493.8582	7.2149	7.0410
-491.5558	7.1646	6.9174
-489.2535	7.1279	6.9128
-486.9511	7.0944	6.8609
-484.6488	7.0547	6.7983
-482.3464	7.0028	6.8227
-480.0441	6.9509	6.7037
-477.7417	6.8899	6.7358
-475.4393	6.8441	6.6824
-473.1370	6.8243	6.6015
-470.8346	6.7709	6.6320
-468.5323	6.7327	6.5023
-466.2299	6.7007	6.5236
-463.9276	6.6412	6.4641
-461.6252	6.6106	6.3817
-459.3229	6.5603	6.3970
-457.0205	6.5053	6.2749
-454.7182	6.4657	6.3009
-452.4158	6.3909	6.2490
-450.1135	6.3451	6.1879
-447.8111	6.3054	6.1986
-445.5088	6.2703	6.0903
-443.2064	6.2459	6.0918
-440.9041	6.2062	6.0140
-438.6017	6.1681	5.9865
-436.2993	6.1330	5.9621
-433.9970	6.1101	5.8720
-431.6946	6.0582	5.8980
-429.3923	6.0018	5.7896
-427.0899	5.9453	5.7881
-424.7876	5.8827	5.7683
-422.4852	5.8705	5.6843
-420.1829	5.8186	5.7179
-417.8805	5.7790	5.6142
-415.5782	5.7484	5.5928
-413.2758	5.6752	5.5607
-410.9735	5.6431	5.4631
-408.6711	5.6035	5.4707
-406.3688	5.5348	5.3715
-404.0664	5.4921	5.3502
-401.7641	5.4112	5.3318
-399.4617	5.3593	5.2693
-397.1593	5.3273	5.2845
-394.8570	5.3074	5.2067
-392.5546	5.2739	5.2006
-390.2523	5.2433	5.1457
-387.9499	5.2174	5.0755
-385.6476	5.1762	5.0587
-383.3452	5.1640	4.9626
-381.0429	5.1197	4.9656
-378.7405	5.0572	4.8878
-376.4382	5.0221	4.8542
-374.1358	4.9473	4.8603
-371.8335	4.9152	4.7626
-369.5311	4.8740	4.7733
-367.2288	4.8130	4.7199
-364.9264	4.7947	4.6482
-362.6241	4.7459	4.6253
-360.3217	4.6970	4.5353
-358.0193	4.6512	4.5200
-355.7170	4.5948	4.4513
-353.4146	4.5612	4.4147
-351.1123	4.4910	4.3888
-348.8099	4.4346	4.3323
-346.5076	4.3811	4.3445
-344.2052	4.3583	4.2942
-341.9029	4.3384	4.2667
-339.6005	4.2972	4.2316
-337.2982	4.2697	4.1553
-334.9958	4.2194	4.1431
-332.6935	4.2087	4.0531
-330.3911	4.1721	4.0271
-328.0888	4.1156	3.9752
-325.7864	4.0851	3.9172
-323.4841	4.0088	3.9050
-321.1817	3.9661	3.8409
-318.8793	3.9294	3.8165
-316.5770	3.8547	3.7845
-314.2746	3.8440	3.7295
-311.9723	3.7891	3.7265
-309.6699	3.7479	3.6410
-307.3676	3.7158	3.5983
-305.0652	3.6532	3.5495
-302.7629	3.6242	3.5037
-300.4605	3.5693	3.4793
-298.1582	3.5083	3.4259
-295.8558	3.4472	3.3969
-293.5535	3.4030	3.3557
-291.2511	3.3816	3.3175
-288.9488	3.3267	3.2870
-286.6464	3.3114	3.2214
-284.3441	3.2565	3.1970
-282.0417	3.2305	3.1329
-279.7393	3.2092	3.0947
-277.4370	3.1481	3.0612
-275.1346	3.1283	2.9925
-272.8323	3.0566	2.9833
-270.5299	2.9940	2.9238
-268.2276	2.9681	2.8841
-265.9252	2.8918	2.8628
-263.6229	2.8719	2.7987
-261.3205	2.8277	2.7651
-259.0182	2.7697	2.7193
-256.7158	2.7331	2.6720
-254.4135	2.6598	2.6262
-252.1111	2.6247	2.5744
-249.8088	2.5622	2.5301
-247.5064	2.4935	2.4843
-245.2041	2.4355	2.4614
-242.9017	2.3760	2.4141
-240.5993	2.3531	2.3821
-238.2970	2.3165	2.3470
-235.9946	2.3027	2.2966
-233.6923	2.2600	2.2768
-231.3899	2.2203	2.2371
-229.0876	2.2112	2.1715
-226.7852	2.1547	2.1379
-224.4829	2.1440	2.0769
-222.1805	2.1074	2.0433
-219.8782	2.0281	2.0021
-217.5758	1.9975	1.9487
-215.2735	1.9228	1.9167
-212.9711	1.8877	1.8693
-210.6688	1.8571	1.8297
-208.3664	1.7900	1.7854
-206.0641	1.7442	1.7335
-203.7617	1.6908	1.6954
-201.4594	1.6435	1.6481
-199.1570	1.5992	1.6023
-196.8546	1.5458	1.5580
-194.5523	1.4863	1.5199
-192.2499	1.4222	1.4833
-189.9476	1.3993	1.4497
-187.6452	1.3490	1.4100
-185.3429	1.3307	1.3703
-183.0405	1.3032	1.3337
-180.7382	1.2422	1.2956
-178.4358	1.2437	1.2483
-176.1335	1.1872	1.2086
-173.8311	1.1491	1.1598
-171.5288	1.1369	1.1033
-169.2264	1.0590	1.0667
-166.9241	1.0209	1.0102
-164.6217	0.9705	0.9766
-162.3194	0.9095	0.9522
-160.0170	0.8805	0.8881
-157.7146	0.8225	0.8668
-155.4123	0.7813	0.8164
-153.1099	0.7310	0.7706
-150.8076	0.6882	0.7523
-148.5052	0.6562	0.6836
-146.2029	0.6119	0.6455
-143.9005	0.5875	0.6012
-141.5982	0.5310	0.5616
-139.2958	0.4898	0.5387
-136.9935	0.4441	0.4853
-134.6911	0.3983	0.4578
-132.3888	0.3815	0.4059
-130.0864	0.3174	0.3693
-127.7841	0.2854	0.3281
-125.4817	0.2548	0.2793
-123.1794	0.2060	0.2503
-120.8770	0.1816	0.1877
-118.5746	0.1282	0.1541
-116.2723	0.0977	0.1129
-113.9699	0.0504	0.0732
-111.6676	-0.0031	0.0488
-109.3652	-0.0305	-0.0015
-107.0629	-0.0763	-0.0351
-104.7605	-0.0992	-0.0763
-102.4582	-0.1404	-0.1160
-100.1558	-0.1846	-0.1480
-97.8535	-0.2075	-0.1938
-95.5511	-0.2548	-0.2274
-93.2488	-0.2762	-0.2686
-90.9464	-0.3174	-0.2991
-88.6441	-0.3556	-0.3327
-86.3417	-0.3693	-0.3586
-84.0394	-0.3693	-0.3876
-81.7370	-0.3678	-0.3861
-79.4346	-0.3678	-0.3754
-77.1323	-0.3678	-0.3693
-74.8299	-0.3678	-0.3647
-72.5276	-0.3662	-0.3647
-70.2252	-0.3647	-0.3632
-67.9229	-0.3647	-0.3632
-65.6205	-0.3647	-0.3617
-63.3182	-0.3647	-0.3617
-61.0158	-0.3647	-0.3601
-58.7135	-0.3632	-0.3601
-56.4111	-0.3632	-0.3601
-54.1088	-0.3632	-0.3601
-51.8064	-0.3617	-0.3586
-49.5041	-0.3617	-0.3586
-47.2017	-0.3601	-0.3586
-44.8994	-0.3601	-0.3586
-42.5970	-0.3601	-0.3571
-40.2946	-0.3586	-0.3571
-37.9923	-0.3586	-0.3571
-35.6899	-0.3571	-0.3556
-33.3876	-0.3571	-0.3556
-31.0852	-0.3571	-0.3540
-28.7829	-0.3556	-0.3540
-26.4805	-0.3556	-0.3540
-24.1782	-0.3540	-0.3525
-21.8758	-0.3540	-0.3525
-19.5735	-0.3525	-0.3510
-17.2711	-0.3525	-0.3510
-14.9688	-0.3510	-0.3495
-12.6664	-0.3510	-0.3495
-10.3641	-0.3495	-0.3479
-8.0617	-0.3495	-0.3479
-5.7594	-0.3479	-0.3479
-3.4570	-0.3479	-0.3464
-1.1546	-0.3449	-0.3449
1.1477	-0.3449	-0.3418
3.4501	-0.3433	-0.3418
5.7524	-0.3418	-0.3403
8.0548	-0.3403	-0.3403
10.3571	-0.3403	-0.3388
12.6595	-0.3388	-0.3388
14.9618	-0.3372	-0.3372
17.2642	-0.3357	-0.3357
19.5665	-0.3342	-0.3342
21.8689	-0.3327	-0.3327
24.1712	-0.3327	-0.3327
26.4736	-0.3327	-0.3311
28.7759	-0.3296	-0.3296
31.0783	-0.3281	-0.3281
33.3806	-0.3266	-0.3266
35.6830	-0.3266	-0.3266
37.9854	-0.3250	-0.3235
40.2877	-0.3235	-0.3220
42.5901	-0.3220	-0.3205
44.8924	-0.3205	-0.3205
47.1948	-0.3205	-0.3189
49.4971	-0.3189	-0.3174
51.7995	-0.3189	-0.3174
54.1018	-0.3189	-0.3174
56.4042	-0.3189	-0.3159
58.7065	-0.3189	-0.3159
61.0089	-0.3174	-0.3144
63.3112	-0.3174	-0.3128
65.6136	-0.3174	-0.3144
67.9159	-0.3159	-0.3128
70.2183	-0.3159	-0.3128
72.5206	-0.3159	-0.3128
74.8230	-0.3144	-0.3128
77.1254	-0.3144	-0.3128
79.4277	-0.3144	-0.3128
81.7301	-0.3144	-0.3128
84.0324	-0.3128	-0.3113
86.3348	-0.3128	-0.3113
88.6371	-0.3128	-0.3098
90.9395	-0.3113	-0.3098
93.2418	-0.3113	-0.3098
95.5442	-0.3113	-0.3098
97.8465	-0.3113	-0.3098
100.1489	-0.3113	-0.3098
102.4512	-0.3113	-0.3083
104.7536	-0.3113	-0.3083
107.0559	-0.3098	-0.3083
109.3583	-0.3098	-0.3083
111.6606	-0.3098	-0.3083
113.9630	-0.3098	-0.3067
116.2654	-0.3098	-0.3067
118.5677	-0.3098	-0.3067
120.8701	-0.3098	-0.3067
123.1724	-0.3098	-0.3067
125.4748	-0.3098	-0.3052
127.7771	-0.3083	-0.3052
130.0795	-0.3083	-0.3052
132.3818	-0.3083	-0.3037
134.6842	-0.3083	-0.3052
136.9865	-0.3083	-0.3052
139.2889	-0.3083	-0.3052
141.5912	-0.3083	-0.3037
143.8936	-0.3083	-0.3037
146.1959	-0.3083	-0.3052
148.4983	-0.3083	-0.3037
150.8006	-0.3083	-0.3052
153.1030	-0.3098	-0.3052
155.4053	-0.3083	-0.3052
157.7077	-0.3083	-0.3052
160.0101	-0.3083	-0.3052
162.3124	-0.3083	-0.3052
164.6148	-0.3083	-0.3052
166.9171	-0.3083	-0.3052
